SNo,Local Government Area,State
5,Aba North,Abia State
6,Aba South,Abia State
62,Arochukwu,Abia State
102,Bende,Abia State
338,Ikwuano,Abia State
363,Isiala Ngwa North,Abia State
364,Isiala Ngwa South,Abia State
371,Isuikwuato,Abia State
548,Obi Ngwa,Abia State
574,Ohafia,Abia State
624,Osisioma,Abia State
721,Ugwunagbo,Abia State
725,Ukwa East,Abia State
726,Ukwa West,Abia State
730,Umu Nneochi,Abia State
728,Umuahia North,Abia State
729,Umuahia South,Abia State
157,Demsa,Adamawa State
225,Fufure,Adamawa State
234,Ganye,Adamawa State
241,Gayuk,Adamawa State
251,Gombi,Adamawa State
253,Girei,Adamawa State
277,Hong,Adamawa State
380,Jada,Adamawa State
465,Lamurde,Adamawa State
472,Madagali,Adamawa State
480,Maiha,Adamawa State
496,Mayo Belwa,Adamawa State
499,Michika,Adamawa State
506,Mubi North,Adamawa State
507,Mubi South,Adamawa State
542,Numan,Adamawa State
676,Shelleng,Adamawa State
687,Song,Adamawa State
707,Toungo,Adamawa State
763,Yola North,Adamawa State
764,Yola South,Adamawa State
3,Abak,Akwa Ibom State
167,Eastern Obolo,Akwa Ibom State
186,Eket,Akwa Ibom State
204,Esit Eket,Akwa Ibom State
205,Essien Udim,Akwa Ibom State
209,Etim Ekpo,Akwa Ibom State
210,Etinan,Akwa Ibom State
288,Ibeno,Akwa Ibom State
289,Ibesikpo Asutan,Akwa Ibom State
291,Ibiono-Ibom,Akwa Ibom State
321,Ika,Akwa Ibom State
331,Ikono,Akwa Ibom State
333,Ikot Abasi,Akwa Ibom State
334,Ikot Ekpene,Akwa Ibom State
350,Ini,Akwa Ibom State
374,Itu,Akwa Ibom State
498,Mbo,Akwa Ibom State
513,Mkpat-Enin,Akwa Ibom State
538,Nsit-Atai,Akwa Ibom State
539,Nsit-Ibom,Akwa Ibom State
540,Nsit-Ubium,Akwa Ibom State
551,Obot Akara,Akwa Ibom State
588,Okobo,Akwa Ibom State
604,Onna,Akwa Ibom State
613,Oron,Akwa Ibom State
616,Oruk Anam,Akwa Ibom State
718,Udung-Uko,Akwa Ibom State
